"Date and time","SMV340200 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340201 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340202 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340203 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340204 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340205 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340206 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340207 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340208 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340209 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340210 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340211 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340212 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340213 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340230 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340232 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340233 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340234 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340262 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","SMV340263 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","idrac-9DQGPV3 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","idrac-BDQGPV3 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","idrac-CDQGPV3 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","idrac-DDQGPV3 - Inlet Temperature (°C, Avg. over last 15 min) (°C)","idrac-FDQGPV3 - Inlet Temperature (°C, Avg. over last 15 min) (°C)"
"2025-06-10T16:15:00-03:00","20.89011","30","23","27.142857","24.927778","34.269244","24","32","23","28.247874","23.558011","28","18","26.082418","27","25.788043","25.422222","19","25.827778","33","31","23.631433","21.950431","20.623503","26.5"
"2025-06-10T16:30:00-03:00","21","30","23","27.138121","25.111111","34.127196","24","32","23","28.426712","23.110498","28","18","26","27","25.922222","25.441989","18.861111","25.950277","33","31","23.631433","21.950431","20.623503","26.441989"
"2025-06-10T16:45:00-03:00","21","30","23","27.532967","25.1","34.125111","24","32","23","28.555358","23.807692","27.782123","18","25.833333","27","26.868132","25.027778","18.835164","25.944444","33.005524","31","23.631433","21.950431","20.623503","26.638889"
"2025-06-10T17:00:00-03:00","21","30","23","27.475138","25.237569","34.125144","24","32","23","28.412292","24","28","18.192308","25.889502","27","26.675824","25.751381","19","25.916201","33.216667","31","23.631433","21.950431","20.623503","26.355556"
"2025-06-10T17:15:00-03:00","21","30","23","27.734807","25.244444","34.125144","24","32","23","28.337331","24","28","18.502762","26","27","26.373627","25.198896","19","25.862638","33","31","23.631433","21.950431","20.623503","26.561111"
"2025-06-10T17:30:00-03:00","21","30","23","27.241758","25.1","34.125144","24","32","23","28.177438","24","28","18.19337","25.668508","27","26.430939","25.248619","19","25.828729","33","31","23.631433","21.950431","20.623503","26.276243"
"2025-06-10T17:45:00-03:00","21","30","23","27.411111","25.088398","34.125144","24","32.027933","23","28.307612","24","28","18.723757","26","26","26.467033","25.828729","19","25.889502","33","31","23.631433","21.950431","20.623503","26.527472"
"2025-06-10T18:00:00-03:00","21","30","23","27.392266","25.309392","34.125144","24","32","23","28.208813","23.834254","28","19","26.055249","26","26.983783","25.779006","19","25.95","33","31","23.631433","21.950431","20.623503","26.388889"
"2025-06-10T18:15:00-03:00","20.779006","30","23","27.972528","25.155556","34.125144","24","32","23","28.373203","23.519337","28","19","26","26","26.269231","25.833333","19","25.877094","33","31","23.631433","21.950431","20.623503","26.441989"
"2025-06-10T18:30:00-03:00","20.593407","30","23","27.861879","25.683333","34.125144","24","32","23","28.336921","23","28.116667","19","26","26","26.127072","25.447513","19","26.209944","33","31","23.631433","21.950431","20.623503","26.276243"
"2025-06-10T18:45:00-03:00","20.71978","30","22.972222","27.883333","25.288889","34.125144","24","32","23","28.431701","23","28.077778","18.718232","26.166667","27","26.773481","25.80663","19","25.955308","33","31","23.631433","21.950431","20.623503","26"
"2025-06-10T19:00:00-03:00","21","30","23","27.657459","25.718232","34.125144","24","32","23","28.289011","23.546961","28","18.441989","26.116022","27","26.879121","25.690608","19","26.337017","33","31","23.631433","21.950431","20.623503","26.248619"
"2025-06-10T19:15:00-03:00","21","30","23","27.288889","25.388889","34.125144","24","32","23","28.713569","24","28","18","26.049723","27","26.895604","26","18.712707","26.022347","33","31","23.631433","21.950431","20.623503","26.796703"
"2025-06-10T19:30:00-03:00","21.188889","30","23","27.79558","25.327778","34.125144","24","32","23.191257","28.747973","24","28","18","25.917582","27","26.95","26","18.662983","26.027778","33","31","23.631433","21.950431","20.623503","26.276243"
"2025-06-10T19:45:00-03:00","21.272222","30","23","27.862638","25.377778","34.125144","24","32.087912","23","28.65949","24","28","18","26","27","26.707182","25.922222","18.615384","26.094972","33","31","23.631433","21.950431","20.623503","26.333333"
"2025-06-10T20:00:00-03:00","21.190218","30","23","27.668508","25.705556","34.125144","24","32","23.136612","28.417987","24","28","18.530387","25.917582","27","26.845303","25.745857","19","26.161111","33","31","23.631433","21.950431","20.623503","26.361111"
"2025-06-10T20:15:00-03:00","21","30","23","27.972528","25.78453","34.139726","24","32","23","28.628543","24","28","19","26","27","26.913043","25.642857","19","26.422222","33","31","23.631433","21.950431","20.623503","26.723757"
"2025-06-10T20:30:00-03:00","20.889502","30","23","27.582418","25.104972","34.153828","24","32","23","28.366029","23.80663","28","19","26.209944","27","26.81768","25.900552","19","25.939227","33","31","23.631433","21.950431","20.623503","26.80663"
"2025-06-10T20:45:00-03:00","21","30","23","27.50838","25.316667","34.153597","24","32","23","28.679043","23.889502","28","19","26.175824","27","26.677596","25.906078","19","25.966667","33","31","23.631433","21.950431","20.623503","26.972222"
"2025-06-10T21:00:00-03:00","21","30","23","27.551912","25.56044","34.153601","24","32","23","28.085268","24","28","19","26","27","26.712707","25.834254","19","26.175824","33","31","23.631433","21.950431","20.623503","26.633333"
"2025-06-10T21:15:00-03:00","21","30","23","27.39779","25.25","34.1536","24","32","23","28.351218","23.861879","28","18.686813","26.055249","27","26.883978","26","19","25.955556","33","31","23.631433","21.950431","20.623503","26.783333"
"2025-06-10T21:30:00-03:00","20.835164","30","23","27.535911","25.316667","34.1536","24","32.088398","23","28.361853","23.587912","28","18","26.164836","27","26.796703","25.781421","19","26.183333","33.19337","31","23.631433","21.950431","20.623503","26.827778"
"2025-06-10T21:45:00-03:00","20.697802","30","23","27.624309","25.298342","34.1536","24","32","23","28.432269","23.082873","28","18.337017","26","26","26.562841","25.75","19","26.055556","33","31","23.631433","21.950431","20.623503","26.922652"
"2025-06-10T22:00:00-03:00","20.761111","30.016483","23","27.790056","25.849162","34.538953","24","32.834254","23","28.441576","23","28","18.502762","26.248619","26","26.972678","25.917127","19","26.494444","33","31","23.631433","21.950431","20.623503","26.861111"
"2025-06-10T22:15:00-03:00","20.855556","30.044199","23","27.967213","25.272222","34.558904","24","32.659341","23","28.43678","23.027624","28.248619","18.027624","26.303868","26","26.722826","25.558011","19","26.122222","33","31","23.631433","21.950431","20.623503","26.911111"
"2025-06-10T22:30:00-03:00","20.642857","30","23","27.911602","25.25","34.376336","24","32.362638","23","28.867721","23","28","18","26.111111","26","26.945054","25.801104","19","25.878453","33","31","23.631433","21.950431","20.623503","26.95055"
"2025-06-10T22:45:00-03:00","20.527778","30.403314","23","28","25.333333","34.370167","24","32.160221","23","28.910908","23","28","18","26","27","26.761111","25.884616","19","25.910614","33","31","23.631433","21.950431","20.623503","27"
"2025-06-10T23:00:00-03:00","20.565934","30.230769","22.972222","28","25.574586","34.370268","24","32.530387","23","28.84231","23","28","18","26.138121","27","26.395604","25.972222","18.840659","26.088398","33.161111","31","23.631433","21.950431","20.623503","26.766667"
"2025-06-10T23:15:00-03:00","20.48913","30.78022","22.945054","28.055249","25.292818","34.370266","24","32.362638","23","28.843186","23","28","18","26.027624","27","26.458563","26","18.877094","26.167598","33.585636","31","23.631433","21.950431","20.623503","26.622222"
"2025-06-10T23:30:00-03:00","20.270718","30.1","22.640884","28.027624","25.083333","34.370266","24","32","23","28.449568","23","28.055556","18","26","27","27.285714","25.972376","18.388889","25.955801","33.25","31","23.631433","21.950431","20.623503","26.834254"
"2025-06-10T23:45:00-03:00","20.45055","30","22.6","27.972528","25.453039","34.370266","24","32","23","28.71707","23","28","18","26.027624","27","26.25","26","18.21978","26.209944","33","31","23.631433","21.950431","20.623503","26.303868"
"2025-06-11T00:00:00-03:00","20.686813","30","22.900552","28","26.314607","34.370266","24","32.309392","23","28.801082","23","28","18","26.055249","27","26.373627","26","18.331492","26.816667","33","31","23.631433","21.950431","20.623503","26.385474"
"2025-06-11T00:15:00-03:00","20.18232","30.033149","22.701658","28","25.082873","34.370266","24","32.248619","23","28.284026","23","28.761111","18","26.21547","27","26.289618","26.055249","18.357542","25.793296","33","31","23.631433","21.950431","20.623503","26.447513"
"2025-06-11T00:30:00-03:00","20.61326","30","22.777778","27.95","25.838889","34.370266","24","32.78453","23","28.90927","23","28.133333","18","26.2","27","26.505494","26","18","26.608939","33","31","23.631433","21.950431","20.623503","26.01105"
"2025-06-11T00:45:00-03:00","20.469613","30","22.38674","27.856353","25.477778","34.370266","24","33","23","28.910758","23","28","18","26.327778","26","26.403314","26","18","26.316667","33","31","23.631433","21.950431","20.623503","26.298342"
"2025-06-11T01:00:00-03:00","20.571429","30","22.58011","28","25.538889","34.254036","24","32.972528","23","28.910733","23","28","18","26.19337","26","27.005494","26","18","26.198896","33","31","23.631433","21.950431","20.623503","26.143647"
"2025-06-11T01:15:00-03:00","20.043956","30","22.405556","27.944751","24.938548","34.249871","24","32.618784","23","28.680621","23","28","18","26.055249","26","26.295082","26","18","25.688889","33","31","23.631433","21.950431","20.623503","26.110498"
"2025-06-11T01:30:00-03:00","20.043956","30","22","27.917127","25.244444","34.24994","24","32.812154","23","28.685857","23","28","18","26","26","26.775957","26","18","25.972067","33","31","23.631433","21.950431","20.623503","26.083333"
"2025-06-11T01:45:00-03:00","20.247252","30","22","27.39011","25.436464","34.249939","24","32","23","28.651534","23","28.19337","18","25.906078","26","26.751381","25.911602","18","26.276243","33","31","23.631433","21.950431","20.623503","26.690608"
"2025-06-11T02:00:00-03:00","20","30","22","28","25.292818","34.249939","24","32","23","28.625046","23","28","18","26.176796","26","27.032967","26","18","26.133333","33","31","23.631433","21.950431","20.623503","26.027624"
"2025-06-11T02:15:00-03:00","20.464089","30","22.110498","27.696132","26","34.249939","24","32","23","28.520257","23","28","18","26","26","26.653631","25.944134","18","26.716667","33","31","23.631433","21.950431","20.623503","26.055556"
"2025-06-11T02:30:00-03:00","20.083799","30","22","27.918033","25.270718","34.249939","24","32","23","28.764888","23","28","18","26.303868","26","26.98895","26","18","25.972222","33","31","23.631433","21.950431","20.623503","26.5"
"2025-06-11T02:45:00-03:00","20","30","22","27.80663","25.243094","34.249939","24","32","23","28.16636","23","28","18","26","27","27.230769","25.664804","18","26.055556","33","31","23.631433","21.950431","20.623503","26.066667"
"2025-06-11T03:00:00-03:00","20.298913","30","22","27.912088","25.837989","34.249939","24","32","23","28.239143","23","28","18","26.055556","27","27.043956","26","18","26.488889","33","31","23.631433","21.950431","20.623503","26.016574"
"2025-06-11T03:15:00-03:00","20.055556","30","22","27.61326","25.458101","34.249939","24","32","23","28.554233","23","28","18","25.983517","27","26.434066","25.722222","18","26.044444","33","31","23.631433","21.950431","20.623503","26.055556"
"2025-06-11T03:30:00-03:00","20","30","22","27.165746","25.727778","34.249939","24","32","23","28.729388","23","28","18","25.988889","27","26.45","25.889502","18","26.422222","33","31","23.631433","21.950431","20.623503","26"
"2025-06-11T03:45:00-03:00","20.272222","30","22","27.697802","25.296089","34.249939","24","32","23","28.360412","23","28.195531","18","26","27","27.569061","25.911602","18","26.066667","33","31","23.631433","21.950431","20.792997","26.083333"
"2025-06-11T04:00:00-03:00","20.060773","30","22","27.98895","25.668508","34.249939","24","32","23","28.657616","22.834254","28","18","26.243094","27","26.63388","25.945054","18","26.353591","33","31","23.631433","21.950431","20.792997","26"
"2025-06-11T04:15:00-03:00","20","30","22","27.541437","25.337017","34.249939","24","32","23","28.459254","22.917127","28","18","26.381216","27","26.229508","25.828729","18","26.044199","33","31","23.631433","21.950431","20.792997","26"
"2025-06-11T04:30:00-03:00","20","30","22","27.736263","25.329609","34.249939","24","32","23","28.438556","23","28","18","26.082418","27","26.480663","25.555556","18","26.072222","33","31","23.631433","21.950431","20.792997","26"
"2025-06-11T04:45:00-03:00","20","30.055249","22","27.906593","25.416667","34.372191","24","32","23","28.268007","22.441989","28","18","26","26","27.483517","25.727778","18","26.164836","33","31","23.631433","21.950431","20.390398","26.194444"
"2025-06-11T05:00:00-03:00","20.19337","30","22","27.917582","25.38674","34.366089","24","32","23","28.876689","22.972222","28","18","26","26","26.674033","26","18","26.072222","33","31","23.631433","21.950431","20.773004","26"
"2025-06-11T05:15:00-03:00","20.412088","30","22","27.830601","25.994444","33.931459","24","32","23","28.532038","22.89011","28.083333","18","25.917127","26","26.238889","25.805556","18","26.756906","33","31","23.631433","21.950431","20.776727","26"
"2025-06-11T05:30:00-03:00","20.164836","30","22","27.888889","25.441989","33.931459","24","32","23","28.675847","23","28","18","26.27933","26","26.153847","25.694444","18","26.172222","33","31","23.631433","21.950431","20.776666","26.054946"
"2025-06-11T05:45:00-03:00","20","30","22","27.642857","25.022222","33.931459","24","32","23","28.414136","23","28","18","26","27","26.044444","26","18","25.546961","33","31","23.715384","21.950431","20.776667","26"
"2025-06-11T06:00:00-03:00","20","30","22","27.727778","25","33.932991","24","32","22.861111","28.338886","23","28","18","26","27","26.685083","25.972376","18","25.469273","33.194444","31","23.720051","21.950431","20.776666","26"
"2025-06-11T06:15:00-03:00","20.137362","30","22","27.574586","25.268157","33.841321","24","32","23","28.115802","23","28","18","26","27","26.137362","26","18","25.692308","33","31","23.807607","22.163019","21.587309","26.054946"
"2025-06-11T06:30:00-03:00","20.142857","30","22","27.651933","25.438889","33.843922","24","32","23","28.833521","23","28","18","26.247252","27","26.45055","25.917127","18","26.206704","32.133333","31","23.81076","22.160347","21.594074","26"
"2025-06-11T06:45:00-03:00","20.461111","30","22","27.696132","25.592179","33.84388","24","32","23","28.87954","23","28","18","26.19337","26","27.955556","25.916667","18","26.563536","32","31","23.810709","22.160391","21.593963","26"
"2025-06-11T07:00:00-03:00","20.174863","30","22.083333","28","25.134078","33.84388","24","32","23","28.364861","23","28","18","26.082873","26","26.445054","25.722222","18","26.427778","32.033149","31","23.81071","22.16039","21.593966","26"
"2025-06-11T07:15:00-03:00","20","30","22","27.7","25.277778","33.84388","23.972528","32","23","28.385134","22.862638","28","18","26.176796","26","26.324176","25.824176","18","26.066667","32.916667","31","23.81071","22.16039","21.593966","26"
"2025-06-11T07:30:00-03:00","20","30","22","27.194444","26.138121","33.84388","24","32","23","28.601691","23","28","18","26.016574","26","26.590164","25.596686","18","26.544444","33","31","23.81071","22.16039","21.593966","26.055249"
"2025-06-11T07:45:00-03:00","20","30","22","27.640884","25.416667","33.84388","24","32","23","28.342231","22.642857","28","18","26","26","27.459017","25.635359","18","26.187846","33","31","23.81071","22.16039","20.809463","26"
"2025-06-11T08:00:00-03:00","20","30","22","27.593407","25.690608","33.84388","24","32","23","28.645414","22.530387","28","18","26","26","27.370166","26.033149","18","26.438889","33","31","23.81071","22.16039","20.469601","26"
"2025-06-11T08:15:00-03:00","20","30","22","27.472528","25.116022","33.84388","24","32","23","28.655583","22.588889","28","18","26","26","26.755556","25.666667","18","26.022347","33","31","23.81071","22.16039","20.54799","26.110498"
"2025-06-11T08:30:00-03:00","20","30","22","28","25.061111","33.84388","24","32","23","28.284574","22.43956","27.972222","18","26","26","26.126373","25.346153","18","25.839779","33","31","23.81071","22.07412","20.397656","26"
"2025-06-11T08:45:00-03:00","20","30","22","27.71978","25.798882","33.84388","24","32","23","28.424217","22.414364","28.536313","18","26.238889","26","27.950277","25.794444","18","26.762431","33","31","23.81071","21.998398","20.391137","26"
"2025-06-11T09:00:00-03:00","20","30","22","27.640884","25.756906","33.84388","24","32","23","28.345347","22.552487","28.133333","18","26.585636","26","26.535911","25.707182","18","26.237569","33","31","23.81071","21.998424","20.499879","26"
"2025-06-11T09:15:00-03:00","20","30","22","27.888889","25.491712","33.84388","24","32","23","28.617877","22.635359","28.03352","18","26.111111","26","26.436464","25.712707","18","26.198896","33","31","23.81071","21.998423","20.830533","26"
"2025-06-11T09:30:00-03:00","20","30","22","27.5","25.541899","33.84388","24","32","23","28.195538","22.788889","28.049723","18","26.10989","26","26.850829","25.912088","18","26.427778","33","31","23.81071","21.998423","20.903724","26"
"2025-06-11T09:45:00-03:00","20","30","22","27.884616","25.475138","33.84388","24","32","23","28.433563","23","28","18","26.19337","","27.395604","25.833333","18","26.316667","33","31","23.81071","21.998423","20.219772","26.083333"
"2025-06-11T10:00:00-03:00","20","30","22","27.477778","25.744444","33.84388","24","32","22.862638","28.418879","22.447513","28","18","25.889502","","26.594444","25.688889","18","26.342541","33","31","23.81071","21.998423","20.278628","26"
"2025-06-11T10:15:00-03:00","20","30","22","27.93956","25.110498","33.84388","24","32","23","28.300657","22.527778","28","18","26.165746","26","26.277174","25.861879","18","25.583333","33","31","23.81071","21.998423","20.27406","26"
"2025-06-11T10:30:00-03:00","20.224043","30","22","27.657459","25.944134","33.580692","24","32","22.972528","28.815586","23","28","18","26","26","26.956284","25.60989","18","26.541437","33","31","23.930376","21.998423","20.274134","26"
"2025-06-11T10:45:00-03:00","20.087912","30","22","27.510989","25.226519","33.917464","24","32","23","28.609781","22.527778","28","18","26.055556","27","26.021858","26","18","25.983333","33","30.972528","23.931518","21.998423","20.274133","26"
"2025-06-11T11:00:00-03:00","20","30","22","27.659341","25.722222","33.917464","24","32","23","28.244988","22.414364","28","18","26.165746","27","25.840659","25.41989","18","26.377778","33","31","23.931499","21.998423","20.274133","26"
"2025-06-11T11:15:00-03:00","20","30.43956","22","28.216667","25.427778","33.917464","24","32","23","28.160773","22.138121","27.58011","18","26.138121","27","25.961749","26","18","25.536313","33","31","23.931499","21.998423","20.274133","26"
"2025-06-11T11:30:00-03:00","20","30.082418","22","27.944751","25.325967","33.917464","24","32","23","28.310826","22.099448","27.144444","18","25.585636","27","26.557377","25.722222","18","26.055556","33","31","23.931499","21.998423","20.274133","26.027624"
"2025-06-11T11:45:00-03:00","20","30","22","27.535911","25.021978","33.917464","24","32","23","28.388442","22.281768","27.888889","18","25.640884","26","26.21978","25.685083","18","25.910614","32.698324","31","23.931499","21.998423","20.274133","26"
"2025-06-11T12:00:00-03:00","20","30.082873","22","27.697802","25.294444","33.917464","24","32","22.917582","28.322454","22.444444","27.138889","18","25.45055","26","26.781421","25.65","18","26.005524","33","31","23.931499","21.998423","20.507746","26"
"2025-06-11T12:15:00-03:00","20","30","22","27.716667","25.288889","33.917464","24","32","23","28.427007","22.618784","27.726257","18","25.638889","26","25.229508","26.359116","18","26.01105","33","31","23.931499","21.998423","20.515816","26.444444"
"2025-06-11T12:30:00-03:00","20","30","22","27.889502","25.055556","33.609779","24","32","23","28.08384","22.276243","27","18","25.333333","26","25.662983","25.944751","18","25.361111","33","31","23.931499","21.998423","20.515683","26.166667"
"2025-06-11T12:45:00-03:00","20.197802","30","22","27.779006","25.232044","33.599782","24","32","23","28.082466","23","27.502793","18","25.447513","26","26.005556","25.751381","18","25.622222","33","31","23.931499","21.998423","21.223638","26.359116"
"2025-06-11T13:00:00-03:00","20","30","22","27.834254","24.744444","33.599946","24","32","23","28.019223","22.972528","27.73743","18","25.508288","26","26.016574","25.922222","18","25.355556","33","31","23.931499","21.998423","21.219971","26.19337"
"2025-06-11T13:15:00-03:00","20","30","22","27.939227","24.961111","33.686167","24","32","23","28.018908","22.917127","27.668508","18","25.983426","26","26.259669","25.939227","18","25.688889","33","31","23.931499","21.998423","21.220031","26"
"2025-06-11T13:30:00-03:00","20.243094","30","22","27.868132","25.972222","33.838352","24","32","23","28.018913","23","27.821229","18","25.745857","26","25.978022","25.889502","18","26.133333","33","31","23.931499","21.998423","21.220031","26.138889"
"2025-06-11T13:45:00-03:00","20","30","22","27.888889","25.333333","33.838352","24","32","22.972222","28.018703","23","27.477778","18","25.361111","26","25.791209","25.966667","18","25.933333","32.283333","31","23.931499","21.998423","21.220031","26.40884"
"2025-06-11T14:00:00-03:00","20","30","22","27.861879","25.244444","33.838352","24","32","23","28.018397","23","27.835164","18","25.662983","26","26.054946","25.866667","18","25.765363","32.222222","31","23.931499","21.998423","21.220031","26.281768"
"2025-06-11T14:15:00-03:00","20","30.093922","22","27.585636","24.744444","33.838352","24","32","23","28.234981","23","27.416667","18","25.662983","26","26.155556","25.911602","18","25.483333","32.668508","31","23.931499","21.998423","21.220031","26.696132"
"2025-06-11T14:30:00-03:00","","","","","","","24","32","","28.227512","","","18","","26","","25.977778","18","","33","","","","",""
"2025-06-11T14:45:00-03:00","","","","","","","24","32","","28.218359","","","18","","25","","25.911602","18","","33","","","","",""
"2025-06-11T15:00:00-03:00","20.659341","30.092897","23","27.734807","25.238889","33.838352","24","32","23","28.214779","23","27.917127","18","25.552487","25","26.61326","25.916667","18","26.044692","33","31","23.931499","21.998423","21.220031","26.722222"
"2025-06-11T15:15:00-03:00","20.357143","30.521978","22.725274","27.823204","24.833333","34.090272","24","32","23","28.308468","23","27.472222","18","25.027778","25","26.181319","25.861111","18","25.888889","33","31","23.931499","21.998423","21.220031","26.444444"
"2025-06-11T15:30:00-03:00","20.638889","30.027624","22.888889","27.305556","25.027778","34.090272","","","23","","23.138121","27.738889","","25.54945","25","26.595629","","","25.833333","","31","23.931499","21.998423","21.220031","26.944751"
"2025-06-11T15:45:00-03:00","21","30.055249","23","27.861879","25.5","34.090272","","","23","","23.19337","27.860336","","25.563536","26","26.357143","","","26.201118","","31","23.931499","21.998423","21.220031","27"
"2025-06-11T16:00:00-03:00","21","30.098361","23","27.60989","25.172222","34.090272","24","32","23","28.236921","23.785714","27.734807","18","26","26","26.441989","25.972376","19","25.761111","33.444444","31","23.931499","21.998423","21.220031","26.524862"
"2025-06-11T16:15:00-03:00","21","30.287293","23","28.027472","25.355556","34.090272","24","32","23","28.233038","24","27.988827","18","25.751381","26","26.508197","25.93956","18.661111","25.866667","33.377778","31","23.931499","21.998423","21.220031","26.716667"
"2025-06-11T16:30:00-03:00","21","30.055249","23","28","25.116667","34.090272","24","32","23","28.187113","24","27.572222","18.116022","25.535911","26","25.740331","25.75","18.80663","25.865922","33.955801","31","23.931499","21.998423","21.220031","26.59116"
"2025-06-11T16:45:00-03:00","21","30","23","28","24.712707","34.090272","24","32","23","28.143969","24","27.873627","18.236263","25.441989","26","26.209944","25.972376","19","25.558011","33.238889","31","23.931499","21.998423","21.220031","26.89011"
"2025-06-11T17:00:00-03:00","21.027472","30.055249","23","27.78022","24.944444","34.090272","24","32","23","28.108777","24","27.25","18.838889","25.883978","26","26.538043","25.779006","19","25.729282","33.22905","31","23.931499","21.998423","21.220031","27"
"2025-06-11T17:15:00-03:00","21.245901","30.906078","23","28","25.050279","34.090272","24","32","23","28.106993","24.055249","27.638889","18.664836","25.635359","26","25.888889","26.027624","19","25.635359","33","31","23.931499","21.998423","21.365731","26.638889"
"2025-06-11T17:30:00-03:00","21.585636","30.972528","23","28","24.894444","34.08845","24","32","23","28.118707","24.629834","28.58011","19","26.508288","26","26.258242","26","19","25.611111","33","31","23.931499","21.998423","21.149688","26.972222"
"2025-06-11T17:45:00-03:00","21.646409","30.748603","23.166667","27.972222","25.287293","34.250396","24","32","23.027624","28.181697","24.861879","27.8","18.79558","25.834254","26","26.565934","26","19","25.916667","33","31","23.931499","21.998423","21.791383","27"
"2025-06-11T18:00:00-03:00","21.395604","30.697802","23.027624","28","25.133333","34.250396","24","32","23","28.042044","24.414364","27.307262","18.983517","25.640884","26","26.718232","25.889502","19.082873","25.8","33","31","23.931499","21.998423","21.717108","26.972376"
"2025-06-11T18:15:00-03:00","21.392266","31","23","28.027472","25.15","34.342013","24","32","23","28.083806","24.027624","27.944751","19","25.723757","26","26.527472","26","19.005556","25.79558","33","31","23.931499","21.998423","21.60435","26.701658"
"2025-06-11T18:30:00-03:00","21.480874","30.401099","23.220994","27.972376","25.351649","34.342013","24","32.633333","23.2","28.72524","24.082418","27.688889","19","26.027624","26","26.45055","26","19.692738","26.111111","33.206704","31","23.931499","21.998423","21.732118","26.383333"
"2025-06-11T18:45:00-03:00","21.355191","30.10929","23","27.861879","25.122906","34.048096","24","32.142857","23.082418","28.424352","24.194444","27.977778","19","25.751381","26","26.244444","25.972528","19.055556","25.812154","33.850829","31","23.931499","21.998423","21.732118","26.889502"
"2025-06-11T19:00:00-03:00","21.552487","30.516483","23","28","24.855556","34.047307","24","32","23","28.104387","24.21978","28.139664","19","25.696132","26","25.666667","26","19","25.60221","33.677778","31","23.931499","21.998423","21.832394","26.916667"
"2025-06-11T19:15:00-03:00","21.19337","30.362638","23","27.945054","24.638889","34.04732","24","32","22.905028","28.246184","24","27.888889","19","25.89011","26","25.574586","26.027778","19","25.447513","33.722222","31","23.931499","21.998423","21.55493","26.611111"
"2025-06-11T19:30:00-03:00","21","30.857143","23","28","24.555556","34.04732","24.111111","32","22.763737","28.487532","24","27.251397","19","25.583333","26","25.790056","26","19","25.464089","34","31","23.931499","21.998423","21.913298","26.585636"
"2025-06-11T19:45:00-03:00","21.054946","30.638889","23","28.24581","25.01105","33.3306","24","32","23","28.081633","24","27.475138","19","25.277778","26","26.302198","25.89011","19","26.044444","33.729282","31","23.931499","21.998423","21.914719","26.75"
"2025-06-11T20:00:00-03:00","21.161111","30.508288","23","28.464089","25.5","33.802092","24","32","23","28.055951","24","27.538889","19","25.120879","26","26.187846","26","19","26.222222","33","31","23.931499","21.998423","21.914696","26.972376"
"2025-06-11T20:15:00-03:00","21.21978","30.38674","23","28","25.111111","33.805337","24","32","23","28.254096","24.027472","27.303868","19","25.505494","26","26.31694","25.972528","19","25.716667","33","31","23.931499","21.998423","21.355992","26.944751"
"2025-06-11T20:30:00-03:00","21","30.779006","23","28","25.149171","33.805283","23.696132","32","23.685083","28.428242","24","27.631284","19","25.705556","26","26.89011","26","19","25.664836","33","31","23.931499","21.998423","21.355992","26.944751"
"2025-06-11T20:45:00-03:00","21.187846","30.751381","23.19337","27.972376","25.535911","33.805284","24","32","23.116022","28.421221","24","27.670391","19","25.160221","27","27.191257","26.38674","19","26.272222","33","31","23.931499","22.487512","21.355992","27"
"2025-06-11T21:00:00-03:00","21.197802","30.524862","23","27.944751","25.744444","33.805284","24","32","23","28.155998","24","27.583333","19","25.530387","27","26.862638","26.458563","19","26.377778","33","31","23.931499","22.47952","21.355992","27"
"2025-06-11T21:15:00-03:00","21.082873","30.830601","23","28","25.160221","34.201822","24","32","23.436464","28.15344","24","27.883978","19","25.61326","27","26.176796","26.027624","19","25.916667","33","31","23.931499","22.479651","21.355992","26.80663"
"2025-06-11T21:30:00-03:00","21","30.261111","23","27.944751","25.217877","34.198513","24.258242","32","23","28.115551","24.055249","27.638889","19","25.687151","27","26.569061","26","19","26.104972","33","31","23.931499","22.479649","21.355992","26.767956"
"2025-06-11T21:45:00-03:00","21","30.67033","23","28","24.85","34.198568","24.461539","32","23.10989","28.115551","24","27.804469","19","25.883978","26","26.300547","26","19","25.677778","33","31","23.931499","22.479649","21.355992","26.483333"
"2025-06-11T22:00:00-03:00","21","30.861111","23","27.89011","25.288889","34.198567","24","32","23.138121","28.236794","24","28","19","25.790056","26","26.571429","26","19","25.894444","33","31","23.931499","22.479649","21.355992","26.683333"
